Date,Product ID,Units Sold,Price,Revenue,Store ID,Stock Level,Restock_Date,Warehouse/Store ID,AvgPrice,Cost,demand_lag_1,demand_lag_7,demand_lag_30,rolling_demand_7,rolling_demand_30,volatility_7,volatility_30,inventory_ratio,days_until_stockout,low_stock,overstock
2022-01-01,P0001,127,33.5,4254.5,S001,4174,31-01-2022,S001,54.62,27.99,,,,127.0,127.0,,,32.86614173228347,32.86614173228347,0,1
2022-01-02,P0001,23,24.71,568.33,S004,3388,06-02-2022,S004,54.62,27.68,127.0,,,75.0,75.0,73.53910524340094,73.53910524340094,45.17333333333333,45.17333333333333,0,1
2022-01-03,P0001,22,74.16,1631.52,S004,4890,31-01-2022,S004,54.62,28.22,23.0,,,57.333333333333336,57.333333333333336,60.33517492585344,60.33517492585344,85.2906976744186,85.2906976744186,0,1
2022-01-04,P0001,22,74.16,1631.52,S004,1200,01-02-2022,S004,54.62,27.87,22.0,,,48.5,48.5,52.3354564325181,52.3354564325181,24.742268041237114,24.742268041237114,0,1
2022-01-05,P0001,22,74.16,1631.52,S004,2257,02-02-2022,S004,54.62,31.93,22.0,,,43.2,43.2,46.84762534003191,46.84762534003191,52.24537037037037,52.24537037037037,0,1
2022-01-06,P0001,22,74.16,1631.52,S004,1262,03-02-2022,S004,54.62,28.21,22.0,,,39.66666666666666,39.66666666666666,42.78629063925344,42.78629063925344,31.815126050420176,31.815126050420176,0,1
2022-01-07,P0001,22,74.16,1631.52,S004,4587,04-02-2022,S004,54.62,23.77,22.0,,,37.142857142857146,37.142857142857146,39.62502816583046,39.62502816583046,123.49615384615383,123.49615384615383,0,1
2022-01-08,P0001,22,74.16,1631.52,S004,3361,05-02-2022,S004,54.62,33.39,22.0,127.0,,22.142857142857142,35.25,0.3779644730089601,37.07424982383325,151.78709677419354,151.78709677419354,0,1
2022-01-09,P0001,22,74.16,1631.52,S004,3388,06-02-2022,S004,54.62,27.68,22.0,23.0,,22.0,33.77777777777778,0.0,34.959897660668915,154.0,154.0,0,1
2022-01-10,P0001,22,74.16,1631.52,S004,2008,07-02-2022,S004,54.62,24.33,22.0,22.0,,22.0,32.6,0.0,33.17026781119903,91.27272727272727,91.27272727272727,0,1
2022-01-11,P0001,22,74.16,1631.52,S004,2856,08-02-2022,S004,54.62,34.56,22.0,22.0,,22.0,31.63636363636364,0.0,31.629962779847613,129.8181818181818,129.8181818181818,0,1
2022-01-12,P0001,22,74.16,1631.52,S004,3723,09-02-2022,S004,54.62,23.2,22.0,22.0,,22.0,30.83333333333333,0.0,30.28601037182719,169.22727272727272,169.22727272727272,0,1
2022-01-13,P0001,23,24.71,568.33,S004,2008,07-02-2022,S004,54.62,24.33,22.0,22.0,,22.142857142857142,30.23076923076923,0.3779644730089601,29.07792360237644,90.68387096774194,90.68387096774194,0,1
2022-01-14,P0001,23,24.71,568.33,S004,3361,05-02-2022,S004,54.62,33.39,23.0,22.0,,22.285714285714285,29.714285714285715,0.4879500364740585,28.0039243717694,150.81410256410257,150.81410256410257,0,1
2022-01-15,P0001,23,24.71,568.33,S004,1262,03-02-2022,S004,54.62,28.21,23.0,22.0,,22.428571428571427,29.266666666666666,0.5345224838246583,27.04088615059654,56.26751592356688,56.26751592356688,0,1
2022-01-16,P0001,23,24.71,568.33,S004,2257,02-02-2022,S004,54.62,31.93,23.0,22.0,,22.571428571428573,28.875,0.5345224838246575,26.17091260668352,99.99367088607595,99.99367088607595,0,1
2022-01-17,P0001,23,24.71,568.33,S004,1200,01-02-2022,S004,54.62,27.87,23.0,22.0,,22.714285714285715,28.529411764705884,0.4879500364740566,25.379907523124523,52.83018867924528,52.83018867924528,0,1
2022-01-18,P0001,23,24.71,568.33,S004,4890,31-01-2022,S004,54.62,28.22,23.0,22.0,,22.857142857142858,28.22222222222222,0.3779644730089555,24.65659571835294,213.9375,213.9375,0,1
2022-01-19,P0001,264,72.31,19089.84,S003,2396,09-02-2022,S003,54.62,26.34,23.0,22.0,,57.42857142857143,40.63157894736842,91.08943799522376,59.16099552756753,41.721393034825866,41.721393034825866,0,1
2022-01-20,P0001,264,72.31,19089.84,S003,4324,08-02-2022,S003,54.62,22.06,264.0,23.0,,91.85714285714286,51.8,117.59595879029824,76.22653219533416,47.07309486780715,47.07309486780715,0,1
2022-01-21,P0001,264,72.31,19089.84,S003,2516,07-02-2022,S003,54.62,29.43,264.0,23.0,,126.28571428571428,61.90476190476191,128.81991860178854,87.54536239110827,19.923076923076923,19.923076923076923,0,1
