Date,Product ID,Units Sold,Price,Revenue,Store ID,Stock Level,Restock_Date,Warehouse/Store ID,AvgPrice,Cost,day,month,year,day_of_week,day_name,is_weekend,season,is_holiday,holiday_name,week_of_year,quarter,day_of_year,is_month_start,is_month_end
2022-01-01,P0001,127,33.5,4254.5,S001,4174,2022-01-31,S001,54.62,27.99,1,1,2022,5,Saturday,1,winter,1,New Year,52,1,1,1,0
2022-01-02,P0001,350,41.72,14602.0,S001,2707,2022-02-03,S001,54.62,22.69,2,1,2022,6,Sunday,1,winter,0,,52,1,2,0,0
2022-01-03,P0001,2,66.3,132.6,S001,4174,2022-01-31,S001,54.62,27.99,3,1,2022,0,Monday,0,winter,0,,1,1,3,0,0
2022-01-04,P0001,67,67.49,4521.83,S005,1301,2022-02-04,S005,54.62,32.16,4,1,2022,1,Tuesday,0,winter,0,,1,1,4,0,0
2022-01-05,P0001,36,32.68,1176.48,S001,1569,2022-02-05,S001,54.62,33.29,5,1,2022,2,Wednesday,0,winter,0,,1,1,5,0,0
2022-01-06,P0001,57,21.01,1197.57,S003,2082,2022-01-31,S003,54.62,23.85,6,1,2022,3,Thursday,0,winter,0,,1,1,6,0,0
2022-01-07,P0001,343,66.57,22833.51,S002,1815,2022-02-04,S002,54.62,34.82,7,1,2022,4,Friday,0,winter,0,,1,1,7,0,0
2022-01-08,P0001,253,80.62,20396.86,S004,1200,2022-02-01,S004,54.62,27.87,8,1,2022,5,Saturday,1,winter,0,,1,1,8,0,0
2022-01-09,P0001,74,40.47,2994.78,S005,3690,2022-02-01,S005,54.62,27.44,9,1,2022,6,Sunday,1,winter,0,,1,1,9,0,0
2022-01-10,P0001,83,45.49,3775.67,S002,2930,2022-02-03,S002,54.62,30.85,10,1,2022,0,Monday,0,winter,0,,2,1,10,0,0
2022-01-11,P0001,147,28.46,4183.62,S001,4322,2022-02-10,S001,54.62,24.88,11,1,2022,1,Tuesday,0,winter,0,,2,1,11,0,0
2022-01-12,P0001,145,20.39,2956.55,S004,2257,2022-02-02,S004,54.62,31.93,12,1,2022,2,Wednesday,0,winter,0,,2,1,12,0,0
2022-02-01,P0001,23,24.71,568.33,S004,3388,2022-02-06,S004,54.62,27.68,1,2,2022,1,Tuesday,0,winter,0,,5,1,32,1,0
2022-02-02,P0001,350,41.72,14602.0,S001,4312,2022-02-02,S001,54.62,32.37,2,2,2022,2,Wednesday,0,winter,0,,5,1,33,0,0
2022-02-03,P0001,5,62.7,313.5,S001,4174,2022-01-31,S001,54.62,27.99,3,2,2022,3,Thursday,0,winter,0,,5,1,34,0,0
2022-02-04,P0001,67,67.49,4521.83,S005,2219,2022-02-05,S005,54.62,29.37,4,2,2022,4,Friday,0,winter,0,,5,1,35,0,0
2022-02-05,P0001,36,32.68,1176.48,S001,3557,2022-02-04,S001,54.62,23.54,5,2,2022,5,Saturday,1,winter,0,,5,1,36,0,0
2022-02-06,P0001,42,31.79,1335.18,S002,2172,2022-02-09,S002,54.62,36.08,6,2,2022,6,Sunday,1,winter,0,,5,1,37,0,0
2022-02-07,P0001,343,66.57,22833.51,S002,4110,2022-02-05,S002,54.62,31.58,7,2,2022,0,Monday,0,winter,0,,6,1,38,0,0
2022-02-08,P0001,253,80.62,20396.86,S004,4890,2022-01-31,S004,54.62,28.22,8,2,2022,1,Tuesday,0,winter,0,,6,1,39,0,0
2022-02-09,P0001,271,81.01,21953.71,S003,2082,2022-01-31,S003,54.62,23.85,9,2,2022,2,Wednesday,0,winter,0,,6,1,40,0,0
2022-02-10,P0001,83,45.49,3775.67,S002,1815,2022-02-04,S002,54.62,34.82,10,2,2022,3,Thursday,0,winter,0,,6,1,41,0,0
2022-02-11,P0001,147,28.46,4183.62,S001,2996,2022-02-09,S001,54.62,25.25,11,2,2022,4,Friday,0,winter,0,,6,1,42,0,0
2022-02-12,P0001,145,20.39,2956.55,S004,1262,2022-02-03,S004,54.62,28.21,12,2,2022,5,Saturday,1,winter,0,,6,1,43,0,0
2022-03-01,P0001,22,74.16,1631.52,S004,4890,2022-01-31,S004,54.62,28.22,1,3,2022,1,Tuesday,0,summer,0,,9,1,60,1,0
2022-03-02,P0001,350,41.72,14602.0,S001,3449,2022-02-01,S001,54.62,22.36,2,3,2022,2,Wednesday,0,summer,0,,9,1,61,0,0
2022-03-03,P0001,5,62.7,313.5,S001,3449,2022-02-01,S001,54.62,22.36,3,3,2022,3,Thursday,0,summer,0,,9,1,62,0,0
2022-03-04,P0001,67,67.49,4521.83,S005,2631,2022-02-06,S005,54.62,35.24,4,3,2022,4,Friday,0,summer,0,,9,1,63,0,0
2022-03-05,P0001,36,32.68,1176.48,S001,2707,2022-02-03,S001,54.62,22.69,5,3,2022,5,Saturday,1,summer,0,,9,1,64,0,0
