Date,Product ID,Units Sold,Price,Revenue,Store ID,Stock Level,Restock_Date,Warehouse/Store ID,AvgPrice,Cost,day,month,year,day_of_week,is_weekend,season,is_festival,price_lag_1,price_lag_7,price_change_pct,discount_pct,sales_lag_1,sales_lag_7,sales_lag_30,rolling_sales_7,rolling_sales_30,demand_volatility,price_pct_change,demand_pct_change,price_elasticity,elasticity_class,inventory_ratio,days_to_stockout,low_stock_flag,overstock_flag,cost_price,profit_per_unit,profit_margin,weekend_price_interaction,season_discount_interaction,inventory_price_interaction
2022-01-01,0,127,33.5,4254.5,0,4174,31-01-2022,S001,54.62,27.99,1,1,2022,5,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,32.609375,0.0,0,1,23.45,10.05,0.30000000000000004,33.5,0.0,1092.4140625
2022-01-01,16,46,25.55,1175.3,3,4051,05-02-2022,S004,52.1358,23.15,1,1,2022,5,1,3,0,33.5,0.0,-0.23731343283582088,-0.23731343283582088,127.0,0.0,0.0,0.0,0.0,0.0,-0.23731343283582085,-0.6377952755905512,2.6875649977715055,Low Elastic,86.19148936170212,0.0,0,1,17.884999999999998,7.665000000000003,0.3000000000000001,25.55,-0.0,2202.1925531914894
2022-01-01,15,85,45.82,3894.7,3,3923,08-02-2022,S004,54.23431372549019,24.23,1,1,2022,5,1,3,0,25.55,0.0,0.7933463796477495,0.7933463796477495,46.0,0.0,0.0,0.0,0.0,0.0,0.7933463796477496,0.8478260869565217,1.0686707706827394,Low Elastic,45.616279069767444,0.0,0,0,32.074,13.746000000000002,0.30000000000000004,45.82,0.0,2090.1379069767445
2022-01-01,1,83,54.02,4483.66,3,1089,09-02-2022,S004,62.52392156862745,36.32,1,1,2022,5,1,3,0,45.82,0.0,0.17896115233522486,0.17896115233522486,85.0,0.0,0.0,0.0,0.0,0.0,0.1789611523352248,-0.02352941176470591,-0.13147776183644203,Low Elastic,12.964285714285714,0.0,0,0,37.814,16.206000000000003,0.30000000000000004,54.02,0.0,700.3307142857143
2022-01-01,14,264,85.81,22653.84,4,3939,01-02-2022,S005,56.78431372549019,28.49,1,1,2022,5,1,3,0,54.02,0.0,0.5884857460199926,0.5884857460199926,83.0,0.0,0.0,0.0,0.0,0.0,0.5884857460199926,2.180722891566265,3.705651167109457,Low Elastic,14.864150943396226,0.0,0,0,60.067,25.743000000000002,0.3,85.81,0.0,1275.4927924528301
2022-01-01,13,263,28.02,7369.26,4,4461,31-01-2022,S005,56.10098039215686,31.89,1,1,2022,5,1,3,0,85.81,0.0,-0.6734646311618693,-0.6734646311618693,264.0,0.0,0.0,0.0,0.0,0.0,-0.6734646311618693,-0.0037878787878787845,0.005624465803562528,Low Elastic,16.897727272727273,0.0,0,1,19.613999999999997,8.406000000000002,0.3000000000000001,28.02,-0.0,473.4743181818182
2022-01-01,12,6,40.8,244.8,3,4723,03-02-2022,S004,56.28823529411764,24.11,1,1,2022,5,1,3,0,28.02,0.0,0.45610278372591,0.45610278372591,263.0,0.0,0.0,124.85714285714286,0.0,101.76349799318774,0.45610278372590995,-0.9771863117870723,-2.1424695192702483,High Elastic,674.7142857142857,37.5266742338252,0,1,28.559999999999995,12.240000000000002,0.30000000000000004,40.8,0.0,27528.342857142852
2022-01-01,19,124,52.47,6506.28,0,3767,01-02-2022,S001,56.9964,32.02,1,1,2022,5,1,3,0,40.8,33.5,0.2860294117647059,0.2860294117647059,6.0,127.0,0.0,124.42857142857143,0.0,101.7592864605112,0.286029411764706,19.666666666666668,68.75749785775491,Low Elastic,30.136,30.033029612756263,0,0,36.729,15.741,0.3,52.47,0.0,1581.2359199999999
2022-01-01,17,235,22.58,5306.3,4,3737,06-02-2022,S005,57.3886,32.96,1,1,2022,5,1,3,0,52.47,25.55,-0.5696588526777207,-0.5696588526777207,124.0,46.0,0.0,151.42857142857142,0.0,102.55219344778726,-0.5696588526777207,0.8951612903225807,-1.5713988927141453,High Elastic,15.834745762711865,24.51640112464855,0,0,15.805999999999997,6.774000000000001,0.30000000000000004,22.58,-0.0,357.5485593220339
2022-01-01,11,171,57.72,9870.12,4,1895,06-02-2022,S005,58.3956862745098,30.81,1,1,2022,5,1,3,0,22.58,45.82,1.5562444641275466,1.0,235.0,85.0,0.0,163.71428571428572,0.0,98.33228409448292,1.5562444641275466,-0.27234042553191484,-0.17499848629796919,Low Elastic,11.017441860465116,11.50477016478751,0,0,40.403999999999996,17.316000000000003,0.30000000000000004,57.72,0.0,635.9267441860464
