Date,Product ID,Units Sold,Price,Revenue,Store ID,Stock Level,Restock_Date,Warehouse/Store ID,AvgPrice,Cost,demand_lag_1,demand_lag_7,demand_lag_30,rolling_demand_7,rolling_demand_30,volatility_7,volatility_30
2022-01-01,P0001,127,33.5,4254.5,S001,4174,31-01-2022,S001,54.62,27.99,,,,127.0,127.0,,
2022-01-02,P0001,23,24.71,568.33,S004,3388,06-02-2022,S004,54.62,27.68,127.0,,,75.0,75.0,73.53910524340094,73.53910524340094
2022-01-03,P0001,22,74.16,1631.52,S004,4890,31-01-2022,S004,54.62,28.22,23.0,,,57.333333333333336,57.333333333333336,60.33517492585344,60.33517492585344
2022-01-04,P0001,22,74.16,1631.52,S004,1200,01-02-2022,S004,54.62,27.87,22.0,,,48.5,48.5,52.3354564325181,52.3354564325181
2022-01-05,P0001,22,74.16,1631.52,S004,2257,02-02-2022,S004,54.62,31.93,22.0,,,43.2,43.2,46.84762534003191,46.84762534003191
2022-01-06,P0001,22,74.16,1631.52,S004,1262,03-02-2022,S004,54.62,28.21,22.0,,,39.666666666666664,39.666666666666664,42.78629063925344,42.78629063925344
2022-01-07,P0001,22,74.16,1631.52,S004,4587,04-02-2022,S004,54.62,23.77,22.0,,,37.142857142857146,37.142857142857146,39.62502816583046,39.62502816583046
2022-01-08,P0001,22,74.16,1631.52,S004,3361,05-02-2022,S004,54.62,33.39,22.0,127.0,,22.142857142857142,35.25,0.3779644730089601,37.07424982383325
2022-01-09,P0001,22,74.16,1631.52,S004,3388,06-02-2022,S004,54.62,27.68,22.0,23.0,,22.0,33.77777777777778,0.0,34.959897660668915
2022-01-10,P0001,22,74.16,1631.52,S004,2008,07-02-2022,S004,54.62,24.33,22.0,22.0,,22.0,32.6,0.0,33.17026781119903
2022-01-11,P0001,22,74.16,1631.52,S004,2856,08-02-2022,S004,54.62,34.56,22.0,22.0,,22.0,31.636363636363637,0.0,31.629962779847613
2022-01-12,P0001,22,74.16,1631.52,S004,3723,09-02-2022,S004,54.62,23.2,22.0,22.0,,22.0,30.833333333333332,0.0,30.28601037182719
2022-01-13,P0001,23,24.71,568.33,S004,2008,07-02-2022,S004,54.62,24.33,22.0,22.0,,22.142857142857142,30.23076923076923,0.3779644730089601,29.07792360237644
2022-01-14,P0001,23,24.71,568.33,S004,3361,05-02-2022,S004,54.62,33.39,23.0,22.0,,22.285714285714285,29.714285714285715,0.48795003647405855,28.003924371769397
2022-01-15,P0001,23,24.71,568.33,S004,1262,03-02-2022,S004,54.62,28.21,23.0,22.0,,22.428571428571427,29.266666666666666,0.5345224838246583,27.04088615059654
2022-01-16,P0001,23,24.71,568.33,S004,2257,02-02-2022,S004,54.62,31.93,23.0,22.0,,22.571428571428573,28.875,0.5345224838246575,26.170912606683522
2022-01-17,P0001,23,24.71,568.33,S004,1200,01-02-2022,S004,54.62,27.87,23.0,22.0,,22.714285714285715,28.529411764705884,0.4879500364740566,25.379907523124523
2022-01-18,P0001,23,24.71,568.33,S004,4890,31-01-2022,S004,54.62,28.22,23.0,22.0,,22.857142857142858,28.22222222222222,0.3779644730089555,24.65659571835294
2022-01-19,P0001,264,72.31,19089.84,S003,2396,09-02-2022,S003,54.62,26.34,23.0,22.0,,57.42857142857143,40.63157894736842,91.08943799522376,59.16099552756753
2022-01-20,P0001,264,72.31,19089.84,S003,4324,08-02-2022,S003,54.62,22.06,264.0,23.0,,91.85714285714286,51.8,117.59595879029824,76.22653219533416
2022-01-21,P0001,264,72.31,19089.84,S003,2516,07-02-2022,S003,54.62,29.43,264.0,23.0,,126.28571428571429,61.904761904761905,128.81991860178854,87.54536239110827
2022-01-22,P0001,264,72.31,19089.84,S003,2679,06-02-2022,S003,54.62,22.18,264.0,23.0,,160.71428571428572,71.0909090909091,128.81991860178854,95.6854514944964
2022-01-23,P0001,264,72.31,19089.84,S003,1399,05-02-2022,S003,54.62,37.48,264.0,23.0,,195.14285714285714,79.47826086956522,117.59595879029823,101.77196862023425
