Date,Product ID,Units Sold,Price,Revenue,Store ID,Stock Level,Restock_Date,Warehouse/Store ID,AvgPrice,Cost,price_elasticity,elasticity_class
2022-01-01,P0001,127,33.5,4254.5,S001,4174,31-01-2022,S001,54.62,27.99,0.03629244968363216,Low Elasticity
2022-01-02,P0001,23,24.71,568.33,S004,3388,06-02-2022,S004,54.62,27.68,0.03629244968363216,Low Elasticity
2022-01-03,P0001,22,74.16,1631.52,S004,4890,31-01-2022,S004,54.62,28.22,0.03629244968363216,Low Elasticity
2022-01-04,P0001,22,74.16,1631.52,S004,1200,01-02-2022,S004,54.62,27.87,0.03629244968363216,Low Elasticity
2022-01-05,P0001,22,74.16,1631.52,S004,2257,02-02-2022,S004,54.62,31.93,0.03629244968363216,Low Elasticity
2022-01-06,P0001,22,74.16,1631.52,S004,1262,03-02-2022,S004,54.62,28.21,0.03629244968363216,Low Elasticity
2022-01-07,P0001,22,74.16,1631.52,S004,4587,04-02-2022,S004,54.62,23.77,0.03629244968363216,Low Elasticity
2022-01-08,P0001,22,74.16,1631.52,S004,3361,05-02-2022,S004,54.62,33.39,0.03629244968363216,Low Elasticity
2022-01-09,P0001,22,74.16,1631.52,S004,3388,06-02-2022,S004,54.62,27.68,0.03629244968363216,Low Elasticity
2022-01-10,P0001,22,74.16,1631.52,S004,2008,07-02-2022,S004,54.62,24.33,0.03629244968363216,Low Elasticity
2022-01-11,P0001,22,74.16,1631.52,S004,2856,08-02-2022,S004,54.62,34.56,0.03629244968363216,Low Elasticity
2022-01-12,P0001,22,74.16,1631.52,S004,3723,09-02-2022,S004,54.62,23.2,0.03629244968363216,Low Elasticity
2022-01-13,P0001,23,24.71,568.33,S004,2008,07-02-2022,S004,54.62,24.33,0.03629244968363216,Low Elasticity
2022-01-14,P0001,23,24.71,568.33,S004,3361,05-02-2022,S004,54.62,33.39,0.03629244968363216,Low Elasticity
2022-01-15,P0001,23,24.71,568.33,S004,1262,03-02-2022,S004,54.62,28.21,0.03629244968363216,Low Elasticity
2022-01-16,P0001,23,24.71,568.33,S004,2257,02-02-2022,S004,54.62,31.93,0.03629244968363216,Low Elasticity
2022-01-17,P0001,23,24.71,568.33,S004,1200,01-02-2022,S004,54.62,27.87,0.03629244968363216,Low Elasticity
2022-01-18,P0001,23,24.71,568.33,S004,4890,31-01-2022,S004,54.62,28.22,0.03629244968363216,Low Elasticity
2022-01-19,P0001,264,72.31,19089.84,S003,2396,09-02-2022,S003,54.62,26.34,0.03629244968363216,Low Elasticity
2022-01-20,P0001,264,72.31,19089.84,S003,4324,08-02-2022,S003,54.62,22.06,0.03629244968363216,Low Elasticity
2022-01-21,P0001,264,72.31,19089.84,S003,2516,07-02-2022,S003,54.62,29.43,0.03629244968363216,Low Elasticity
2022-01-22,P0001,264,72.31,19089.84,S003,2679,06-02-2022,S003,54.62,22.18,0.03629244968363216,Low Elasticity
